figure_file,figure_id,panel_id,source_export_id,source_file,rows_used_or_array_keys,metric,dataset,hemisphere,value_scale,generated_by_script,generated_at,notes
fig6\cai_paired_difference_polar.pdf,FIG_CAI_PAIRED_DIFFERENCE_POLAR,cai_absolute_reference_contours_DMT_right,EXP017,02_exports/cai_polar/angle_distributions/exp017_subject_angle_histograms.npz,subject_density rows=40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79,PCB-scaled absolute-probability reference contours,DMT,right,PCB-normalized outer reference band with Drug-minus-PCB separation amplified 2.5x relative to the PCB span; not the difference radial scale,plot_cai_paired_difference_polar.py,2026-06-24T13:15:11.514695+00:00,PCB gray dashed and normalized to a common display height; Drug uses study color and is displaced from PCB in proportion to the native local Drug-minus-PCB difference.
fig6\cai_paired_difference_polar.pdf,FIG_CAI_PAIRED_DIFFERENCE_POLAR,cai_paired_difference_LSD_left,EXP017,02_exports/cai_polar/angle_distributions/exp017_paired_bin_statistics.csv,72,paired CAI angular probability difference,LSD,left,absolute Drug-minus-PCB probability difference x10^-4; color encodes sign,plot_cai_paired_difference_polar.py,2026-06-24T13:15:11.514695+00:00,3-bin circular smoothing and periodic interpolation to 288 display bins; colored outline follows difference sign.
fig6\cai_paired_difference_polar.pdf,FIG_CAI_PAIRED_DIFFERENCE_POLAR,cai_absolute_reference_contours_LSD_left,EXP017,02_exports/cai_polar/angle_distributions/exp017_subject_angle_histograms.npz,subject_density rows=80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107,PCB-scaled absolute-probability reference contours,LSD,left,PCB-normalized outer reference band with Drug-minus-PCB separation amplified 2.5x relative to the PCB span; not the difference radial scale,plot_cai_paired_difference_polar.py,2026-06-24T13:15:11.514695+00:00,PCB gray dashed and normalized to a common display height; Drug uses study color and is displaced from PCB in proportion to the native local Drug-minus-PCB difference.
fig6\cai_paired_difference_polar.pdf,FIG_CAI_PAIRED_DIFFERENCE_POLAR,cai_paired_difference_LSD_right,EXP017,02_exports/cai_polar/angle_distributions/exp017_paired_bin_statistics.csv,72,paired CAI angular probability difference,LSD,right,absolute Drug-minus-PCB probability difference x10^-4; color encodes sign,plot_cai_paired_difference_polar.py,2026-06-24T13:15:11.514695+00:00,3-bin circular smoothing and periodic interpolation to 288 display bins; colored outline follows difference sign.
fig6\cai_paired_difference_polar.pdf,FIG_CAI_PAIRED_DIFFERENCE_POLAR,cai_absolute_reference_contours_LSD_right,EXP017,02_exports/cai_polar/angle_distributions/exp017_subject_angle_histograms.npz,subject_density rows=108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135,PCB-scaled absolute-probability reference contours,LSD,right,PCB-normalized outer reference band with Drug-minus-PCB separation amplified 2.5x relative to the PCB span; not the difference radial scale,plot_cai_paired_difference_polar.py,2026-06-24T13:15:11.514695+00:00,PCB gray dashed and normalized to a common display height; Drug uses study color and is displaced from PCB in proportion to the native local Drug-minus-PCB difference.
fig2\ptdr_dmt_left_dmt_pcb.pdf,FIG_PTDR_DMT_LEFT,group_mean__DMT__PCB__left,EXP003,02_exports/all_metrics_runner/ptdr_vortex/exp003_vortex_occupancy_map_manifest.csv,group_mean__DMT__PCB__left,occupancy map,DMT,left,occupancy probability,plot_ptdr_dmt_left.py,2026-06-24T14:08:34.234679+00:00,"Zero and non-finite values masked as transparent; both maps cropped to shared minimum valid rectangle rows 9:168, columns 21:240; y-axis reversed with origin=lower; shared RdBu_r scale centered on pooled mean"
fig2\ptdr_dmt_left_dmt_pcb.pdf,FIG_PTDR_DMT_LEFT,group_mean__DMT__DMT__left,EXP003,02_exports/all_metrics_runner/ptdr_vortex/exp003_vortex_occupancy_map_manifest.csv,group_mean__DMT__DMT__left,occupancy map,DMT,left,occupancy probability,plot_ptdr_dmt_left.py,2026-06-24T14:08:34.234679+00:00,"Zero and non-finite values masked as transparent; both maps cropped to shared minimum valid rectangle rows 9:168, columns 21:240; y-axis reversed with origin=lower; shared RdBu_r scale centered on pooled mean"
fig1\publication_paired_pattern_count_per_frame.pdf,PUB_PAIRED_PATTERN_COUNT_PER_FRAME,pattern_count_per_frame_DMT_left,EXP001,02_exports/all_metrics_runner/subject_level/exp001_pattern_stats_subject.csv,40,pattern_count_per_frame,DMT,left,native,plot_publication_paired_metrics.py,2026-06-29T21:02:08.397065+00:00,paired-only; PCB left half; Drug right half; translucent density
fig1\publication_paired_pattern_count_per_frame.pdf,PUB_PAIRED_PATTERN_COUNT_PER_FRAME,pattern_count_per_frame_DMT_right,EXP001,02_exports/all_metrics_runner/subject_level/exp001_pattern_stats_subject.csv,40,pattern_count_per_frame,DMT,right,native,plot_publication_paired_metrics.py,2026-06-29T21:02:08.397065+00:00,paired-only; PCB left half; Drug right half; translucent density
fig1\publication_paired_pattern_count_per_frame.pdf,PUB_PAIRED_PATTERN_COUNT_PER_FRAME,pattern_count_per_frame_LSD_left,EXP001,02_exports/all_metrics_runner/subject_level/exp001_pattern_stats_subject.csv,28,pattern_count_per_frame,LSD,left,native,plot_publication_paired_metrics.py,2026-06-29T21:02:08.397065+00:00,paired-only; PCB left half; Drug right half; translucent density
fig1\publication_paired_pattern_count_per_frame.pdf,PUB_PAIRED_PATTERN_COUNT_PER_FRAME,pattern_count_per_frame_LSD_right,EXP001,02_exports/all_metrics_runner/subject_level/exp001_pattern_stats_subject.csv,28,pattern_count_per_frame,LSD,right,native,plot_publication_paired_metrics.py,2026-06-29T21:02:08.397065+00:00,paired-only; PCB left half; Drug right half; translucent density
fig1\publication_paired_mean_size.pdf,PUB_PAIRED_MEAN_SIZE,mean_size_DMT_left,EXP001,02_exports/all_metrics_runner/subject_level/exp001_pattern_stats_subject.csv,40,mean_size,DMT,left,native,plot_publication_paired_metrics.py,2026-06-29T21:02:08.745212+00:00,paired-only; PCB left half; Drug right half; translucent density
fig1\publication_paired_mean_size.pdf,PUB_PAIRED_MEAN_SIZE,mean_size_DMT_right,EXP001,02_exports/all_metrics_runner/subject_level/exp001_pattern_stats_subject.csv,40,mean_size,DMT,right,native,plot_publication_paired_metrics.py,2026-06-29T21:02:08.745212+00:00,paired-only; PCB left half; Drug right half; translucent density
fig1\publication_paired_mean_size.pdf,PUB_PAIRED_MEAN_SIZE,mean_size_LSD_left,EXP001,02_exports/all_metrics_runner/subject_level/exp001_pattern_stats_subject.csv,28,mean_size,LSD,left,native,plot_publication_paired_metrics.py,2026-06-29T21:02:08.745212+00:00,paired-only; PCB left half; Drug right half; translucent density
fig1\publication_paired_mean_size.pdf,PUB_PAIRED_MEAN_SIZE,mean_size_LSD_right,EXP001,02_exports/all_metrics_runner/subject_level/exp001_pattern_stats_subject.csv,28,mean_size,LSD,right,native,plot_publication_paired_metrics.py,2026-06-29T21:02:08.745212+00:00,paired-only; PCB left half; Drug right half; translucent density
fig2\publication_paired_gipr.pdf,PUB_PAIRED_GIPR,gipr_DMT_left,EXP006,02_exports/gipr/subject_level/exp006_gipr_subject.csv,40,gipr,DMT,left,native,plot_publication_paired_metrics.py,2026-06-29T21:02:09.102646+00:00,paired-only; PCB left half; Drug right half; translucent density
fig2\publication_paired_gipr.pdf,PUB_PAIRED_GIPR,gipr_DMT_right,EXP006,02_exports/gipr/subject_level/exp006_gipr_subject.csv,40,gipr,DMT,right,native,plot_publication_paired_metrics.py,2026-06-29T21:02:09.102646+00:00,paired-only; PCB left half; Drug right half; translucent density
fig2\publication_paired_gipr.pdf,PUB_PAIRED_GIPR,gipr_LSD_left,EXP006,02_exports/gipr/subject_level/exp006_gipr_subject.csv,28,gipr,LSD,left,native,plot_publication_paired_metrics.py,2026-06-29T21:02:09.102646+00:00,paired-only; PCB left half; Drug right half; translucent density
fig2\publication_paired_gipr.pdf,PUB_PAIRED_GIPR,gipr_LSD_right,EXP006,02_exports/gipr/subject_level/exp006_gipr_subject.csv,28,gipr,LSD,right,native,plot_publication_paired_metrics.py,2026-06-29T21:02:09.102646+00:00,paired-only; PCB left half; Drug right half; translucent density
fig2\publication_paired_occupancy_p95_p5_diff.pdf,PUB_PAIRED_OCCUPANCY_P95_P5_DIFF,occupancy_p95_p5_diff_DMT_left,EXP003,02_exports/all_metrics_runner/ptdr_vortex/exp003_ptdr_subject_values.csv,40,occupancy_p95_p5_diff,DMT,left,native,plot_publication_paired_metrics.py,2026-06-29T21:02:09.507589+00:00,paired-only; PCB left half; Drug right half; translucent density
fig2\publication_paired_occupancy_p95_p5_diff.pdf,PUB_PAIRED_OCCUPANCY_P95_P5_DIFF,occupancy_p95_p5_diff_DMT_right,EXP003,02_exports/all_metrics_runner/ptdr_vortex/exp003_ptdr_subject_values.csv,40,occupancy_p95_p5_diff,DMT,right,native,plot_publication_paired_metrics.py,2026-06-29T21:02:09.507589+00:00,paired-only; PCB left half; Drug right half; translucent density
fig2\publication_paired_occupancy_p95_p5_diff.pdf,PUB_PAIRED_OCCUPANCY_P95_P5_DIFF,occupancy_p95_p5_diff_LSD_left,EXP003,02_exports/all_metrics_runner/ptdr_vortex/exp003_ptdr_subject_values.csv,28,occupancy_p95_p5_diff,LSD,left,native,plot_publication_paired_metrics.py,2026-06-29T21:02:09.507589+00:00,paired-only; PCB left half; Drug right half; translucent density
fig2\publication_paired_occupancy_p95_p5_diff.pdf,PUB_PAIRED_OCCUPANCY_P95_P5_DIFF,occupancy_p95_p5_diff_LSD_right,EXP003,02_exports/all_metrics_runner/ptdr_vortex/exp003_ptdr_subject_values.csv,28,occupancy_p95_p5_diff,LSD,right,native,plot_publication_paired_metrics.py,2026-06-29T21:02:09.507589+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_path_entropy.pdf,PUB_PAIRED_PATH_ENTROPY,path_entropy_DMT_left,EXP010,02_exports/path_entropy/subject_level/exp010_path_entropy_subject.csv,40,path_entropy,DMT,left,native,plot_publication_paired_metrics.py,2026-06-29T21:02:09.851885+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_path_entropy.pdf,PUB_PAIRED_PATH_ENTROPY,path_entropy_DMT_right,EXP010,02_exports/path_entropy/subject_level/exp010_path_entropy_subject.csv,40,path_entropy,DMT,right,native,plot_publication_paired_metrics.py,2026-06-29T21:02:09.851885+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_path_entropy.pdf,PUB_PAIRED_PATH_ENTROPY,path_entropy_LSD_left,EXP010,02_exports/path_entropy/subject_level/exp010_path_entropy_subject.csv,28,path_entropy,LSD,left,native,plot_publication_paired_metrics.py,2026-06-29T21:02:09.851885+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_path_entropy.pdf,PUB_PAIRED_PATH_ENTROPY,path_entropy_LSD_right,EXP010,02_exports/path_entropy/subject_level/exp010_path_entropy_subject.csv,28,path_entropy,LSD,right,native,plot_publication_paired_metrics.py,2026-06-29T21:02:09.851885+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_mean_duration.pdf,PUB_PAIRED_MEAN_DURATION,mean_duration_DMT_left,EXP001,02_exports/all_metrics_runner/subject_level/exp001_pattern_stats_subject.csv,40,mean_duration,DMT,left,native,plot_publication_paired_metrics.py,2026-06-29T21:02:10.191469+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_mean_duration.pdf,PUB_PAIRED_MEAN_DURATION,mean_duration_DMT_right,EXP001,02_exports/all_metrics_runner/subject_level/exp001_pattern_stats_subject.csv,40,mean_duration,DMT,right,native,plot_publication_paired_metrics.py,2026-06-29T21:02:10.191469+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_mean_duration.pdf,PUB_PAIRED_MEAN_DURATION,mean_duration_LSD_left,EXP001,02_exports/all_metrics_runner/subject_level/exp001_pattern_stats_subject.csv,28,mean_duration,LSD,left,native,plot_publication_paired_metrics.py,2026-06-29T21:02:10.191469+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_mean_duration.pdf,PUB_PAIRED_MEAN_DURATION,mean_duration_LSD_right,EXP001,02_exports/all_metrics_runner/subject_level/exp001_pattern_stats_subject.csv,28,mean_duration,LSD,right,native,plot_publication_paired_metrics.py,2026-06-29T21:02:10.191469+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_phase_ngsc.pdf,PUB_PAIRED_PHASE_NGSC,phase_ngsc_DMT_left,EXP022,02_exports/all_metrics_runner/ngsc/exp022_ngsc_subject_values.csv,40,phase_ngsc,DMT,left,native,plot_publication_paired_metrics.py,2026-06-29T21:02:10.522248+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_phase_ngsc.pdf,PUB_PAIRED_PHASE_NGSC,phase_ngsc_DMT_right,EXP022,02_exports/all_metrics_runner/ngsc/exp022_ngsc_subject_values.csv,40,phase_ngsc,DMT,right,native,plot_publication_paired_metrics.py,2026-06-29T21:02:10.522248+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_phase_ngsc.pdf,PUB_PAIRED_PHASE_NGSC,phase_ngsc_LSD_left,EXP022,02_exports/all_metrics_runner/ngsc/exp022_ngsc_subject_values.csv,28,phase_ngsc,LSD,left,native,plot_publication_paired_metrics.py,2026-06-29T21:02:10.522248+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_phase_ngsc.pdf,PUB_PAIRED_PHASE_NGSC,phase_ngsc_LSD_right,EXP022,02_exports/all_metrics_runner/ngsc/exp022_ngsc_subject_values.csv,28,phase_ngsc,LSD,right,native,plot_publication_paired_metrics.py,2026-06-29T21:02:10.522248+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_gcor.pdf,PUB_PAIRED_GCOR,gcor_DMT_left,EXP020,02_exports/gcor/subject_level/exp020_gcor_subject.csv,40,gcor,DMT,left,native,plot_publication_paired_metrics.py,2026-06-29T21:02:10.864006+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_gcor.pdf,PUB_PAIRED_GCOR,gcor_DMT_right,EXP020,02_exports/gcor/subject_level/exp020_gcor_subject.csv,40,gcor,DMT,right,native,plot_publication_paired_metrics.py,2026-06-29T21:02:10.864006+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_gcor.pdf,PUB_PAIRED_GCOR,gcor_LSD_left,EXP020,02_exports/gcor/subject_level/exp020_gcor_subject.csv,28,gcor,LSD,left,native,plot_publication_paired_metrics.py,2026-06-29T21:02:10.864006+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_gcor.pdf,PUB_PAIRED_GCOR,gcor_LSD_right,EXP020,02_exports/gcor/subject_level/exp020_gcor_subject.csv,28,gcor,LSD,right,native,plot_publication_paired_metrics.py,2026-06-29T21:02:10.864006+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_complex_svd_top_mode.pdf,PUB_PAIRED_COMPLEX_SVD_TOP_MODE,complex_svd_top_mode_DMT_left,EXP016,02_exports/cai_model_delta/model_correlation/exp016_subject_condition_values_long.csv,40,complex_svd_top_mode,DMT,left,native,plot_publication_paired_metrics.py,2026-06-29T21:02:11.200901+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_complex_svd_top_mode.pdf,PUB_PAIRED_COMPLEX_SVD_TOP_MODE,complex_svd_top_mode_DMT_right,EXP016,02_exports/cai_model_delta/model_correlation/exp016_subject_condition_values_long.csv,40,complex_svd_top_mode,DMT,right,native,plot_publication_paired_metrics.py,2026-06-29T21:02:11.200901+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_complex_svd_top_mode.pdf,PUB_PAIRED_COMPLEX_SVD_TOP_MODE,complex_svd_top_mode_LSD_left,EXP016,02_exports/cai_model_delta/model_correlation/exp016_subject_condition_values_long.csv,28,complex_svd_top_mode,LSD,left,native,plot_publication_paired_metrics.py,2026-06-29T21:02:11.200901+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_complex_svd_top_mode.pdf,PUB_PAIRED_COMPLEX_SVD_TOP_MODE,complex_svd_top_mode_LSD_right,EXP016,02_exports/cai_model_delta/model_correlation/exp016_subject_condition_values_long.csv,28,complex_svd_top_mode,LSD,right,native,plot_publication_paired_metrics.py,2026-06-29T21:02:11.200901+00:00,paired-only; PCB left half; Drug right half; translucent density
fig6\publication_paired_weighted_mean_cos2_alignment.pdf,PUB_PAIRED_WEIGHTED_MEAN_COS2_ALIGNMENT,weighted_mean_cos2_alignment_DMT_left,EXP016,02_exports/cai_model_delta/model_correlation/exp016_subject_condition_values_long.csv,40,weighted_mean_cos2_alignment,DMT,left,native,plot_publication_paired_metrics.py,2026-06-29T21:02:11.588629+00:00,paired-only; PCB left half; Drug right half; translucent density
fig6\publication_paired_weighted_mean_cos2_alignment.pdf,PUB_PAIRED_WEIGHTED_MEAN_COS2_ALIGNMENT,weighted_mean_cos2_alignment_DMT_right,EXP016,02_exports/cai_model_delta/model_correlation/exp016_subject_condition_values_long.csv,40,weighted_mean_cos2_alignment,DMT,right,native,plot_publication_paired_metrics.py,2026-06-29T21:02:11.588629+00:00,paired-only; PCB left half; Drug right half; translucent density
fig6\publication_paired_weighted_mean_cos2_alignment.pdf,PUB_PAIRED_WEIGHTED_MEAN_COS2_ALIGNMENT,weighted_mean_cos2_alignment_LSD_left,EXP016,02_exports/cai_model_delta/model_correlation/exp016_subject_condition_values_long.csv,28,weighted_mean_cos2_alignment,LSD,left,native,plot_publication_paired_metrics.py,2026-06-29T21:02:11.588629+00:00,paired-only; PCB left half; Drug right half; translucent density
fig6\publication_paired_weighted_mean_cos2_alignment.pdf,PUB_PAIRED_WEIGHTED_MEAN_COS2_ALIGNMENT,weighted_mean_cos2_alignment_LSD_right,EXP016,02_exports/cai_model_delta/model_correlation/exp016_subject_condition_values_long.csv,28,weighted_mean_cos2_alignment,LSD,right,native,plot_publication_paired_metrics.py,2026-06-29T21:02:11.588629+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_global_phase_bfc.pdf,PUB_PAIRED_GLOBAL_PHASE_BFC,global_phase_bfc_DMT_left,EXP014,02_exports/phase_recon_wbfc/model_correlation/exp014_subject_condition_values_z.csv,40,global_phase_bfc,DMT,left,Fisher z,plot_publication_paired_metrics.py,2026-06-29T21:02:11.925207+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_global_phase_bfc.pdf,PUB_PAIRED_GLOBAL_PHASE_BFC,global_phase_bfc_DMT_right,EXP014,02_exports/phase_recon_wbfc/model_correlation/exp014_subject_condition_values_z.csv,40,global_phase_bfc,DMT,right,Fisher z,plot_publication_paired_metrics.py,2026-06-29T21:02:11.925207+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_global_phase_bfc.pdf,PUB_PAIRED_GLOBAL_PHASE_BFC,global_phase_bfc_LSD_left,EXP014,02_exports/phase_recon_wbfc/model_correlation/exp014_subject_condition_values_z.csv,28,global_phase_bfc,LSD,left,Fisher z,plot_publication_paired_metrics.py,2026-06-29T21:02:11.925207+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_global_phase_bfc.pdf,PUB_PAIRED_GLOBAL_PHASE_BFC,global_phase_bfc_LSD_right,EXP014,02_exports/phase_recon_wbfc/model_correlation/exp014_subject_condition_values_z.csv,28,global_phase_bfc,LSD,right,Fisher z,plot_publication_paired_metrics.py,2026-06-29T21:02:11.925207+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_global_phase_wfc.pdf,PUB_PAIRED_GLOBAL_PHASE_WFC,global_phase_wfc_DMT_left,EXP014,02_exports/phase_recon_wbfc/model_correlation/exp014_subject_condition_values_z.csv,40,global_phase_wfc,DMT,left,Fisher z,plot_publication_paired_metrics.py,2026-06-29T21:02:12.262369+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_global_phase_wfc.pdf,PUB_PAIRED_GLOBAL_PHASE_WFC,global_phase_wfc_DMT_right,EXP014,02_exports/phase_recon_wbfc/model_correlation/exp014_subject_condition_values_z.csv,40,global_phase_wfc,DMT,right,Fisher z,plot_publication_paired_metrics.py,2026-06-29T21:02:12.262369+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_global_phase_wfc.pdf,PUB_PAIRED_GLOBAL_PHASE_WFC,global_phase_wfc_LSD_left,EXP014,02_exports/phase_recon_wbfc/model_correlation/exp014_subject_condition_values_z.csv,28,global_phase_wfc,LSD,left,Fisher z,plot_publication_paired_metrics.py,2026-06-29T21:02:12.262369+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_global_phase_wfc.pdf,PUB_PAIRED_GLOBAL_PHASE_WFC,global_phase_wfc_LSD_right,EXP014,02_exports/phase_recon_wbfc/model_correlation/exp014_subject_condition_values_z.csv,28,global_phase_wfc,LSD,right,Fisher z,plot_publication_paired_metrics.py,2026-06-29T21:02:12.262369+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_dfr_mean_region_count.pdf,PUB_PAIRED_DFR_MEAN_REGION_COUNT,dfr_mean_region_count_DMT_left,EXP018,02_exports/dfr/model_correlation/exp018_per_condition_subject_dfr.csv,40,dfr_mean_region_count,DMT,left,native,plot_publication_paired_metrics.py,2026-06-29T21:02:12.599221+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_dfr_mean_region_count.pdf,PUB_PAIRED_DFR_MEAN_REGION_COUNT,dfr_mean_region_count_DMT_right,EXP018,02_exports/dfr/model_correlation/exp018_per_condition_subject_dfr.csv,40,dfr_mean_region_count,DMT,right,native,plot_publication_paired_metrics.py,2026-06-29T21:02:12.599221+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_dfr_mean_region_count.pdf,PUB_PAIRED_DFR_MEAN_REGION_COUNT,dfr_mean_region_count_LSD_left,EXP018,02_exports/dfr/model_correlation/exp018_per_condition_subject_dfr.csv,28,dfr_mean_region_count,LSD,left,native,plot_publication_paired_metrics.py,2026-06-29T21:02:12.599221+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\publication_paired_dfr_mean_region_count.pdf,PUB_PAIRED_DFR_MEAN_REGION_COUNT,dfr_mean_region_count_LSD_right,EXP018,02_exports/dfr/model_correlation/exp018_per_condition_subject_dfr.csv,28,dfr_mean_region_count,LSD,right,native,plot_publication_paired_metrics.py,2026-06-29T21:02:12.599221+00:00,paired-only; PCB left half; Drug right half; translucent density
fig4\fig4_model_delta_composite.png,FIG4_MODEL_DELTA_COMPOSITE,box_ngsc_DMT_left,EXP023,02_exports/phase_ngsc_model/exp023_phase_ngsc_paired_deltas.csv,20,ngsc,DMT,left,native,plot_fig4_model_delta_composite.py,2026-06-29T21:10:02.548977+00:00,Compact Fig4 Drug-PCB empirical delta boxplot.
